"treat","age","educ","black","hispanic","married","nodegree","RE74s","RE75s","age2","educ2","age_educ","RE74_2","RE75_2","RE74_RE75","y"
1,27,11,1,0,0,1,0,0,729,121,297,0,0,0,549.2984
1,29,4,1,0,0,1,0,0,841,16,116,0,0,0,762.9146
1,28,9,1,0,0,1,0,0,784,81,252,0,0,0,10694.29
1,27,11,1,0,0,1,0,0,729,121,297,0,0,0,0
1,23,7,0,0,0,1,0,0,529,49,161,0,0,0,0
1,45,5,1,0,1,1,0,0,2025,25,225,0,0,0,8546.715
1,29,13,1,0,0,0,0,0,841,169,377,0,0,0,7479.656
1,27,9,1,0,0,1,0,0,729,81,243,0,0,0,0
1,46,13,1,0,0,0,0,0,2116,169,598,0,0,0,647.2046
1,18,6,1,0,0,1,0,0,324,36,108,0,0,0,0
1,25,12,1,0,0,0,0,0,625,144,300,0,0,0,11965.81
1,28,15,1,0,0,0,0,0,784,225,420,0,0,0,9598.541
1,25,11,0,0,0,1,0,0,625,121,275,0,0,0,18783.35
1,22,12,1,0,0,0,0,0,484,144,264,0,0,0,18678.08
1,21,9,1,0,0,1,0,0,441,81,189,0,0,0,0
1,40,11,1,0,0,1,0,0,1600,121,440,0,0,0,23005.6
1,22,11,1,0,0,1,0,0,484,121,242,0,0,0,6456.697
1,25,12,1,0,0,0,0,0,625,144,300,0,0,0,0
1,18,12,1,0,0,0,0,0,324,144,216,0,0,0,2321.107
1,38,12,0,0,0,0,0,0,1444,144,456,0,0,0,4941.849
1,27,13,1,0,0,0,0,0,729,169,351,0,0,0,0
1,27,8,1,0,0,1,0,0,729,64,216,0,0,0,0
1,38,11,1,0,0,1,0,0,1444,121,418,0,0,0,0
1,23,8,0,1,0,1,0,0,529,64,184,0,0,0,3881.284
1,26,11,1,0,0,1,0,0,676,121,286,0,0,0,17230.96
1,21,12,0,0,0,0,0,0,441,144,252,0,0,0,8048.603
1,25,8,1,0,0,1,0,0,625,64,200,0,0,0,0
1,31,11,1,0,1,1,0,0,961,121,341,0,0,0,14509.93
1,17,10,1,0,0,1,0,0,289,100,170,0,0,0,0
1,25,11,1,0,0,1,0,0,625,121,275,0,0,0,0
1,21,12,1,0,0,0,0,0,441,144,252,0,0,0,9983.784
1,44,11,1,0,0,1,0,0,1936,121,484,0,0,0,0
1,25,12,0,0,0,0,0,0,625,144,300,0,0,0,5587.503
1,18,9,1,0,0,1,0,0,324,81,162,0,0,0,4482.845
1,42,12,1,0,0,0,0,0,1764,144,504,0,0,0,2456.153
1,25,10,1,0,0,1,0,0,625,100,250,0,0,0,0
1,31,9,0,1,0,1,0,0,961,81,279,0,0,0,26817.6
1,24,10,1,0,0,1,0,0,576,100,240,0,0,0,0
1,26,10,1,0,0,1,0,0,676,100,260,0,0,0,9265.788
1,25,11,1,0,0,1,0,0,625,121,275,0,0,0,485.2298
1,18,11,1,0,0,1,0,0,324,121,198,0,0,0,4814.627
1,19,11,1,0,0,1,0,0,361,121,209,0,0,0,7458.105
1,43,9,1,0,0,1,0,0,1849,81,387,0,0,0,0
1,27,13,1,0,0,0,0,0,729,169,351,0,0,0,34099.28
1,17,9,1,0,0,1,0,0,289,81,153,0,0,0,1953.268
1,30,11,1,0,0,1,0,0,900,121,330,0,0,0,0
1,26,10,1,0,1,1,2.027999,0,676,100,260,4.112779944001,0,0,0
1,20,9,1,0,0,1,6.083994,0,400,81,180,37.014982992036,0,0,8881.665
1,17,9,0,1,0,1,0.4451704,0.07434345,289,81,153,0.19817668503616,0.0055269485579025,0.03309550337388,6210.67
1,20,12,1,0,0,0,0.9892678,0.1652077,400,144,240,0.97865078011684,0.02729358413929,0.16343465792206,0
1,18,11,1,0,0,1,0.8582543,0.2145636,324,121,198,0.73660044346849,0.04603753844496,0.18415013232348,929.8839
1,27,12,1,0,1,0,3.670872,0.3340493,729,144,324,13.475301240384,0.11158893483049,1.2262522219896,0
1,21,12,0,0,0,0,3.670872,0.3340494,441,144,252,13.475301240384,0.11158900164036,1.2262525890768,12558.02
1,27,12,1,0,0,0,2.143413,0.3579499,729,144,324,4.594219288569,0.12812813091001,0.7672344690087,22163.25
1,20,12,1,0,0,0,0,0.3775686,400,144,240,0,0.14255804770596,0,1652.637
1,19,10,1,0,0,1,0,0.3852741,361,100,190,0,0.14843613213081,0,8124.715
1,23,12,1,0,0,0,5.506308,0.5010741,529,144,276,30.319427790864,0.25107525369081,2.7590683254228,671.3318
1,29,14,1,0,0,0,0,0.6796734,841,196,406,0,0.46195593066756,0,17814.98
1,18,10,1,0,0,1,0,0.7989079,324,100,180,0,0.63825383268241,0,9737.154
1,19,9,1,0,0,1,0,0.7989079,361,81,171,0,0.63825383268241,0,17685.18
1,27,13,0,0,1,0,9.381566,0.8537225,729,169,351,88.013780612356,0.72884210700625,8.009253979435,0
1,18,11,0,0,0,1,3.678231,0.9195579,324,121,198,13.529383289361,0.84558673145241,3.3823463740749,4321.705
1,27,9,1,0,1,1,0,0.9344454,729,81,243,0,0.87318820558116,0,1773.423
1,22,12,1,0,0,0,5.605852,0.9361773,484,144,264,31.425576645904,0.87642793703529,5.2480713895596,0
1,23,10,1,0,1,1,0,0.9364386,529,100,230,0,0.87691725156996,0,11233.26
1,23,12,0,1,0,0,9.38574,1.117439,529,144,276,88.0921153476,1.248669918721,10.48799191986,559.4432
1,20,11,1,0,0,1,3.637498,1.220836,400,121,220,13.231391700004,1.490440538896,4.440788508328,1085.44
1,17,9,1,0,0,1,1.716509,1.253439,289,81,153,2.946403147081,1.571109326721,2.151539324451,5445.2
1,28,11,1,0,0,1,0,1.284079,784,121,308,0,1.648858878241,0,60307.93
1,26,11,1,0,1,1,0,1.392853,676,121,286,0,1.940039479609,0,1460.36
1,20,11,1,0,0,1,16.31862,1.484994,400,121,220,266.2973587044,2.205207180036,24.23305278828,6943.342
1,24,11,1,0,1,1,0.8243886,1.666113,576,121,264,0.67961656380996,2.775932528769,1.3735245635118,4032.708
1,31,9,1,0,0,1,0,1.698607,961,81,279,0,2.885265740449,0,10363.27
1,23,8,0,0,1,1,0,1.71315,529,64,184,0,2.9348829225,0,4232.309
1,18,10,1,0,0,1,2.143411,1.784274,324,100,180,4.594210714921,3.183633707076,3.824432518614,11141.39
1,29,12,1,0,0,0,10.88194,1.817284,841,144,348,118.4166181636,3.302521136656,19.77557545096,0
1,26,11,0,0,0,1,0,2.226266,676,121,286,0,4.956260302756,0,13385.86
1,24,9,1,0,0,1,9.1547,2.288675,576,81,216,83.80853209,5.238033255625,20.9521330225,4849.559
1,25,12,1,0,0,0,14.42679,2.409274,625,144,300,208.1322697041,5.804601207076,34.75809005046,0
1,24,10,1,0,0,1,4.250402,2.421947,576,100,240,18.065917161604,5.865827270809,10.294248372694,1660.508
1,46,8,1,0,0,1,3.165658,2.594723,2116,64,368,10.021390572964,6.732587446729,8.214005622734,0
1,31,12,0,0,0,0,0,2.611218,961,144,372,0,6.818459443524,0,2484.549
1,19,11,1,0,0,1,2.305026,2.615276,361,121,209,5.313144860676,6.839668556176,6.028279177176,4146.603
1,19,8,1,0,0,1,0,2.657057,361,64,152,0,7.059951901249,0,9970.681
1,27,11,1,0,0,1,2.20694,2.666274,729,121,297,4.8705841636,7.109017043076,5.88430674156,0
1,26,11,1,0,1,1,0,2.754646,676,121,286,0,7.588074585316,0,26372.28
1,20,10,1,0,0,1,5.005731,2.777355,400,100,200,25.057342844361,7.713700796025,13.902692021505,5615.189
1,28,10,1,0,0,1,0,2.836506,784,100,280,0,8.045766288036,0,3196.571
1,24,12,1,0,0,0,13.76575,2.842764,576,144,288,189.4958730625,8.081307159696,39.132778533,6167.681
1,19,8,1,0,0,1,2.636353,2.937264,361,64,152,6.950357140609,8.627519805696,7.743664758192,7535.942
1,23,12,1,0,0,0,6.269341,3.03996,529,144,276,39.304636574281,9.2413568016,19.05854586636,8484.239
1,42,9,1,0,1,1,0,3.058531,1764,81,378,0,9.354611877961,0,1294.409
1,25,13,1,0,0,0,12.36293,3.090732,625,169,325,152.8420381849,9.552624295824,38.21050336476,0
1,18,9,1,0,0,1,0,3.287375,324,81,162,0,10.806834390625,0,5010.342
1,21,12,1,0,0,0,6.473683,3.332409,441,144,252,41.908571584489,11.104949743281,21.572959492347,9371.037
1,27,10,1,0,0,1,1.001146,3.550075,729,100,270,1.002293313316,12.603032505625,3.55414338595,0
1,21,8,1,0,0,1,0.9892678,3.695897,441,64,168,0.97865078011684,13.659654634609,3.6562318942166,4279.613
1,22,9,1,0,0,1,2.192877,3.836986,484,81,198,4.808709537129,14.722461564196,8.414038348722,3462.564
1,31,4,1,0,0,1,8.517589,4.023211,961,16,124,72.549322372921,16.186226750521,34.268057758279,7382.549
1,24,10,1,0,1,1,11.7032,4.078152,576,100,240,136.96489024,16.631323735104,47.7274284864,0
1,29,10,1,0,0,1,0,4.39895,841,100,290,0,19.3507611025,0,0
1,29,12,1,0,0,0,9.748387,4.878937,841,144,348,95.031049101769,23.804026249969,47.561766024619,10976.51
1,19,10,0,0,0,1,0,5.324109,361,100,190,0,28.346136643881,0,13829.62
1,19,11,0,1,1,1,5.424485,5.463803,361,121,209,29.425037515225,29.853143222809,29.638317416455,6788.463
1,31,9,1,0,0,1,10.71703,5.517841,961,81,279,114.8547320209,30.446569301281,59.13486753223,9558.501
1,22,10,1,0,1,1,1.468348,5.588664,484,100,220,2.156045849104,31.233165304896,8.206103607072,13228.28
1,21,9,1,0,0,1,6.41647,5.749331,441,81,189,41.1710872609,33.054806947561,36.89040988157,743.6666
1,17,10,1,0,0,1,1.291468,5.793852,289,100,170,1.667889595024,33.568720997904,7.482574454736,5522.788
1,26,12,1,0,1,0,8.408762,5.794831,676,144,312,70.707278372644,33.580066318561,48.727354709222,1424.944
1,20,9,0,1,0,1,12.26078,5.875049,400,81,180,150.3267262084,34.516200752401,72.03268327822,1358.643
1,19,10,1,0,0,1,4.121949,6.056754,361,100,190,16.990463558601,36.684269016516,24.965631093546,0
1,26,10,1,0,0,1,25.92968,6.788958,676,100,260,672.3483049024,46.089950725764,176.03550847344,672.8773
1,28,11,1,0,0,1,1.929029,6.871856,784,121,308,3.721152882841,47.222404884736,13.256009507824,0
1,22,12,0,1,1,0,0.4922305,7.055702,484,144,264,0.24229086513025,49.782930712804,3.473031723311,10092.83
1,33,11,1,0,0,1,0,7.867916,1089,121,363,0,61.904102183056,0,6281.433
1,22,12,0,0,0,0,6.759994,8.455504,484,144,264,45.697518880036,71.495547894016,57.159156306976,12590.71
1,29,10,0,1,0,1,0,8.853674,841,100,290,0,78.387543298276,0,5112.014
1,33,12,1,0,1,0,20.27995,10.94135,1089,144,396,411.2763720025,119.7131398225,221.8900309325,15952.6
1,25,14,1,0,1,0,35.04007,11.53657,625,196,350,1227.8065056049,133.0924473649,404.2422203599,36646.95
1,35,9,1,0,1,1,13.60243,13.83064,1225,81,315,185.0261019049,191.2866028096,188.1303124552,12803.97
1,35,8,1,0,1,1,13.73207,17.97615,1225,64,280,188.5697464849,323.1419688225,246.8497501305,3786.628
1,33,11,1,0,1,1,14.66071,25.14224,1089,121,363,214.9364177041,632.1322322176,368.6030893904,4181.942
0,30,12,0,0,1,0,20.16673,18.34723,900,144,360,406.6969988929,336.6208486729,370.0036336579,25564.67
0,26,12,0,0,1,0,25.86232,17.80655,676,144,312,668.8595957824,317.0732229025,460.518694196,25564.67
0,25,16,0,0,1,0,25.86232,15.31621,625,256,400,668.8595957824,234.5862887641,396.1127242072,25564.67
0,42,11,0,0,1,1,21.78705,14.26529,1764,121,462,474.6755477025,203.4984987841,310.7985864945,15491.01
0,25,9,1,0,1,1,14.82969,13.77653,625,81,225,219.9197054961,189.7927788409,204.3016691757,0
0,37,9,1,0,1,1,13.68548,12.75605,1369,81,333,187.2923628304,162.7168116025,174.572667154,17833.2
0,32,12,0,0,1,0,19.06758,12.62535,1024,144,384,363.5726070564,159.3994626225,240.734871153,14146.28
0,20,12,1,0,0,0,7.392314,12.39619,400,144,240,54.646306274596,153.6655265161,91.63652888366,17765.23
0,38,9,0,1,1,1,16.82618,12.02918,1444,81,342,283.1203333924,144.7011714724,202.4051479324,0
0,39,10,0,0,1,1,16.76741,12.02202,1521,100,390,281.1460381081,144.5289648804,201.5781383682,4433.18
0,41,5,0,0,1,1,10.78576,11.99158,1681,25,205,116.3326187776,143.7979908964,129.3383039008,19451.31
0,31,14,0,0,1,0,17.83129,11.56369,961,196,434,317.9549030641,133.7189264161,206.1955098601,22094.97
0,34,8,0,0,1,1,8.038872,11.40435,1156,64,272,64.623463032384,130.0591989225,91.6781098932,5486.799
0,29,12,0,0,1,0,14.76895,11.14655,841,144,348,218.1218841025,124.2455769025,164.6228396225,6420.722
0,22,14,1,0,1,0,0.7484399,11.10537,484,196,308,0.56016228391201,123.3292428369,8.311702012263,18208.55
0,42,0,0,1,1,1,2.797833,10.92992,1764,0,0,7.827869495889,119.4631512064,30.58009086336,9922.934
0,25,9,0,1,0,1,5.460477,10.58976,625,81,225,29.816809067529,112.1430168576,57.82514091552,7539.361
0,28,9,0,0,1,1,11.09141,10.35702,784,81,252,123.0193757881,107.2678632804,114.8739551982,15406.78
0,40,13,0,0,1,0,3.577621,10.30152,1600,169,520,12.799372019641,106.1213143104,36.85493428392,11911.95
0,35,9,0,0,1,1,11.47543,9.397403,1225,81,315,131.6854936849,88.311183144409,107.83924030829,11087.38
0,27,10,0,1,1,1,15.71136,9.098419,729,100,270,246.8468330496,82.781228299561,142.94853633984,17023.41
0,27,6,0,1,1,1,7.831189,9.071565,729,36,162,61.327521153721,82.293291549225,71.041140040785,5661.171
0,36,12,0,0,1,0,25.53512,8.695597,1296,144,432,652.0423534144,75.613407186409,222.04311286664,21905.82
0,47,8,1,0,1,1,9.275169,8.543419,2209,64,376,86.028759978561,72.990008209561,79.241655062811,0
0,40,11,0,0,1,1,20.66635,8.502242,1600,121,440,427.0980223225,72.288119026564,175.7103089567,25564.67
0,27,7,0,0,1,1,3.064293,8.461065,729,49,189,9.389891589849,71.589620934225,25.927182252045,11149.45
0,36,9,1,0,1,1,13.2564,8.457484,1296,81,324,175.73214096,71.529035610256,112.1157908976,0
0,39,6,0,1,1,1,13.27991,8.441371,1521,36,234,176.3560096081,71.256744359641,112.10064715661,25048.94
0,21,9,0,0,1,1,11.15607,8.441371,441,81,189,124.4578978449,71.256744359641,94.17252577197,1213.214
0,29,12,0,0,1,0,11.19917,8.081516,841,144,348,125.4214086889,65.310900858256,90.50627154172,0
0,22,13,0,1,0,0,6.404843,7.88279,484,169,286,41.022013854649,62.1383781841,50.48803235197,9453.017
0,25,10,0,0,1,1,13.63454,7.793274,625,100,250,185.9006810116,60.735119639076,106.25770608396,11688.82
0,27,12,0,0,1,0,12.27089,7.709129,729,144,324,150.5747413921,59.430669938641,94.59787395481,7806.829
0,45,8,0,0,1,1,22.41597,7.635726,2025,64,360,502.4757110409,58.304311547076,171.16220494422,15931.37
0,26,12,0,0,1,0,2.345242,7.565903,676,144,312,5.500160038564,57.242888205409,17.743873483526,2838.713
0,27,12,0,0,1,0,9.788497,7.496081,729,144,324,95.814673519009,56.191230358561,73.375366380257,14038.4
0,33,8,0,0,1,1,12.31203,7.474597,1089,64,264,151.5860827209,55.869600312409,92.02746250191,25514.43
0,25,12,0,0,1,0,11.38138,7.467435,625,144,300,129.5358107044,55.762585479225,84.9897153603,4162.756
0,49,8,0,0,1,1,6.459703,7.431629,2401,64,392,41.727762848209,55.229109593641,48.006116146187,7503.896
0,40,3,0,1,1,1,7.576485,7.426258,1600,9,120,57.403124955225,55.149307882564,56.26493234313,12104.06
0,22,12,1,0,1,0,9.729719,7.372548,484,144,264,94.667431818961,54.354464012304,71.732820354012,2231.367
0,25,5,0,0,1,1,7.891927,7.293774,625,25,125,62.282511773329,53.199139163076,57.561931962498,14617.67
0,25,12,0,0,1,0,11.51657,7.263339,625,144,300,132.6313845649,52.756093428921,83.64875202723,19588.74
0,21,12,0,0,1,0,13.60123,7.202468,441,144,252,184.9934575129,51.875545291024,97.96242383564,10746.03
0,33,9,0,1,1,1,11.95936,7.087887,1089,81,297,143.0262916096,50.238142124769,84.76659227232,25564.67
0,20,12,1,0,1,0,9.555344,7.055661,400,144,240,91.304598958336,49.782352146921,67.419268002384,0
0,19,11,0,0,1,1,4.306468,6.978677,361,121,209,18.545666635024,48.701932670329,30.053449182836,837.871
0,25,12,1,0,1,0,0.2958493,6.942871,625,144,300,0.08752680831049,48.203457722641,2.0540435253403,461.0507
0,29,12,0,0,1,0,15.30383,6.932129,841,144,348,234.2072126689,48.054412472641,106.08812375407,24290.87
0,20,12,0,0,1,0,3.558029,6.797855,400,144,240,12.659570364841,46.210832601025,24.186965227795,6680.802
0,29,6,0,1,1,1,8.542403,6.701177,841,36,174,72.972649014409,44.905773185329,57.244154508331,7196.528
0,25,13,0,0,1,0,19.25959,6.652839,625,169,325,370.9318069681,44.260266759921,128.13095147601,13015.82
0,41,15,0,0,1,0,25.86232,6.563323,1681,225,615,668.8595957824,43.077208802329,169.74275968936,24647
0,39,10,0,0,1,1,22.74513,6.4935,1521,100,390,517.3409387169,42.16554225,147.695501655,25564.67
0,33,12,0,0,1,0,10.81907,6.369968,1089,144,396,117.0522756649,40.576492321024,68.91712968976,2936.243
0,29,8,0,0,1,1,9.169369,6.352065,841,64,232,84.077327858161,40.348729764225,58.244427896985,20575.86
0,21,11,0,0,1,1,10.67996,6.276871,441,121,231,114.0615456016,39.399109550641,67.03673120516,10923.35
0,31,12,0,0,1,0,23.65227,6.228532,961,144,372,559.4298761529,38.794610875024,147.31892056764,22403.81
0,36,12,1,0,1,0,11.04047,6.221371,1296,144,432,121.8919778209,38.705457119641,68.68685988437,7215.739
0,25,7,0,0,1,1,5.597625,6.099629,625,49,175,31.333405640625,37.205473937641,34.143435781125,122.6513
0,35,7,0,0,1,1,10.71523,6.087097,1225,49,245,114.8161539529,37.052749887409,65.22464438731,15177.73
0,22,9,0,0,1,1,5.683833,6.038758,484,81,198,32.305957571889,36.466598182564,34.323291999414,4742.025
0,31,2,0,1,1,1,3.262179,5.965355,961,4,62,10.641811828041,35.585460276025,19.460055808545,9732.307
0,40,15,0,0,1,0,10.90724,5.922387,1600,225,600,118.9678844176,35.074667777769,64.59689638188,6238.962
0,47,3,0,0,1,1,9.047894,5.911645,2209,9,141,81.864385835236,34.947546606025,53.48793732563,6145.865
0,26,8,0,1,0,1,3.168134,5.872258,676,64,208,10.037073041956,34.483414018564,18.604100226572,11136.15
0,42,7,0,0,1,1,10.97189,5.806016,1764,49,294,120.3823701721,33.709821792256,63.70296889024,9241.702
0,53,12,0,0,0,0,17.1044,5.775581,2809,144,636,292.56049936,33.357335887561,98.7878476564,19965.56
0,30,17,1,0,0,0,17.82737,5.546419,900,289,510,317.8151211169,30.762763723561,98.87806368803,14421.13
0,28,10,0,0,1,1,10.41546,5.544629,784,100,280,108.4818070116,30.742910747641,57.74986156434,10289.41
0,46,11,0,0,1,1,14.75328,5.299355,2116,121,506,217.6592707584,28.083163416025,78.1828681344,0
0,28,12,0,0,0,0,8.25635,5.279661,784,144,336,68.1673153225,27.874820274921,43.59072909735,21602.88
0,27,12,0,1,1,0,17.60401,5.222371,729,144,324,309.9011680801,27.273158861641,91.93467130771,25564.67
0,25,10,0,0,1,1,4.335857,5.181194,625,100,250,18.799655924449,26.844771265636,22.464916273258,12418.81
0,38,8,0,0,1,1,11.24227,5.174032,1444,64,304,126.3886347529,26.770607137024,58.16786473264,0
0,26,12,0,1,0,0,7.968338,5.109581,676,144,312,63.494410482244,26.107817995561,40.714868446378,4181.966
0,54,12,0,0,0,0,7.165039,5.012903,2916,144,648,51.337783871521,25.129196487409,35.917645498217,0
0,38,8,0,1,1,1,22.60602,4.978887,1444,64,304,511.0321402404,24.789315758769,112.55281909974,8720.065
0,23,17,0,0,0,0,0,4.876839,529,289,391,0,23.783558631921,0,16747.08
0,23,8,0,0,1,1,3.595255,4.866097,529,64,184,12.925858515025,23.678900013409,17.494859569735,2782.559
0,23,12,0,0,1,0,11.69095,4.764048,529,144,276,136.6783119025,22.696153346304,55.6962469656,14065
0,25,12,0,1,1,0,8.746167,4.762258,625,144,300,76.495437191889,22.679101258564,41.651503765086,379.7757
0,25,15,0,0,1,0,7.386436,4.738984,625,225,375,54.559436782096,22.457969352256,35.004202021024,12705.49
0,37,11,0,1,0,1,0.6152098,4.713919,1369,121,407,0.37848309801604,22.221032338561,2.9000491652062,0
0,40,12,0,0,1,0,18.38968,4.688855,1600,144,480,338.1803305024,21.985361211025,86.2265430164,21857.05
0,19,10,0,0,0,1,5.777878,4.672742,361,100,190,33.383874182884,21.834517798564,26.998533201476,135.9508
0,48,7,0,0,1,1,13.32693,4.636935,2304,49,336,177.6070632249,21.501166194225,61.79610815955,0
0,19,12,0,0,0,0,8.530648,4.620823,361,144,228,72.771955299904,21.352005197329,39.418614483304,0
0,16,9,0,0,0,1,2.53921,4.579645,256,81,144,6.4475874241,20.973148326025,11.62868038045,0
0,29,10,0,0,1,1,0.7131731,4.542048,841,100,290,0.50861587056361,20.630200034304,3.2392664525088,7781.708
0,30,16,0,0,0,0,3.093682,4.468645,900,256,480,9.570868317124,19.968788136025,13.82456660089,15538.29
0,22,11,0,0,1,1,8.761841,4.463274,484,121,242,76.769857709281,19.920814799076,39.106497127434,10642.59
0,22,10,0,0,0,1,17.26898,4.400613,484,100,220,298.2176702404,19.365394775769,75.99409788474,2453.026
0,47,10,1,0,1,1,13.31126,4.397032,2209,100,470,177.1896427876,19.333890409024,58.53003618032,19330.14
0,25,12,0,1,1,0,2.266872,4.361226,625,144,300,5.138708664384,19.020292223076,9.886341105072,3020.473
0,47,10,1,0,0,1,21.91832,4.323629,2209,100,470,480.4127516224,18.693767729641,94.76668398328,19438.02
0,24,12,1,0,1,0,8.573752,4.293194,576,144,288,73.509223357504,18.431514721636,36.808780643888,0
0,20,12,1,0,1,0,2.648929,4.2735,400,144,240,7.016824847041,18.26280225,11.3201980815,0
0,28,12,1,0,0,0,16.72234,4.253806,784,144,336,279.6366550756,18.094865485636,71.13359022604,7314.747
0,47,11,0,0,0,1,8.060424,4.232323,2209,121,517,64.970435059776,17.912557976329,34.114317884952,3358.873
0,50,0,0,0,1,1,10.16272,4.218,2500,0,0,103.2808777984,17.791524,42.86635296,220.1813
0,18,12,0,0,0,0,2.21789,4.191145,324,144,216,4.9190360521,17.565696411025,9.29549858405,8957.978
0,21,12,0,0,0,0,9.665063,4.110581,441,144,252,93.413442793969,16.896876157561,39.729024331603,1687.564
0,47,11,0,0,1,1,23.92461,4.096258,2209,121,517,572.3869636521,16.779329602564,98.00137510938,17358.85
0,21,12,0,0,0,0,2.827222,4.056871,441,144,252,7.993184237284,16.458202310641,11.469674942362,5937.505
0,34,11,0,0,1,1,0,4.010323,1156,121,374,0,16.082690564329,0,18133.18
0,19,12,0,0,1,0,5.817063,3.919016,361,144,228,33.838221945969,15.358686408256,22.797162970008,1066.919
0,44,13,0,0,1,0,8.032994,3.881419,1936,169,572,64.528992604036,15.065413453561,31.179415538486,3104.704
0,21,15,0,0,1,0,6.951479,3.879629,441,225,315,48.323060287441,15.051521177641,26.969159521291,0
0,20,12,1,0,0,0,5.099971,3.842032,400,144,240,26.009704200841,14.761209889024,19.594251781072,12718.79
